model,setting,sampler,precision,recall,f1_score,support_pos,support_neg,pr_auc,best_threshold
XGBoost,baseline,no_resampling,0.6768,0.7933,0.7304,8475,49570,0.8446,0.5
xgboost,no_cluster,no_resampling,0.8871,0.7075,0.7872,8475,49570,0.8444,0.7842
xgboost,with_cluster,no_resampling,0.8755,0.7137,0.7864,8475,49570,0.8442,0.7613
XGBoost,baseline,no_resampling,0.6763,0.792,0.7296,8475,49570,0.8442,0.5
xgboost,with_cluster,random_over,0.8724,0.7113,0.7836,8475,49570,0.8415,0.9444
random_forest,no_cluster,no_resampling,0.8589,0.7022,0.7727,8475,49570,0.8315,0.3428
RandomForest,baseline,no_resampling,0.6755,0.7821,0.7249,8475,49570,0.8312,0.5
random_forest,with_cluster,random_over,0.8516,0.7121,0.7756,8475,49570,0.8306,0.7075
random_forest,with_cluster,no_resampling,0.866,0.6975,0.7726,8475,49570,0.8303,0.3522
xgboost,with_cluster,adasyn,0.8806,0.6927,0.7755,8475,49570,0.83,0.9586
RandomForest,baseline,no_resampling,0.6682,0.7822,0.7207,8475,49570,0.829,0.5
random_forest,with_cluster,adasyn,0.8849,0.6755,0.7661,8475,49570,0.8276,0.8091
xgboost,with_cluster,borderline_smote,0.8587,0.6998,0.7712,8475,49570,0.8265,0.9637
random_forest,with_cluster,borderline_smote,0.8868,0.6665,0.7611,8475,49570,0.8204,0.8557
Decision Tree,baseline,no_resampling,0.6817,0.7775,0.7265,8475,49570,0.8178,0.5
decision_tree,with_cluster,random_over,0.8878,0.6767,0.768,8475,49570,0.8099,0.7816
Decision Tree,baseline,no_resampling,0.6146,0.806,0.6974,8475,49570,0.8085,0.5
decision_tree,with_cluster,no_resampling,0.883,0.6901,0.7748,8475,49570,0.8042,0.4537
decision_tree,no_cluster,no_resampling,0.8723,0.6942,0.7731,8475,49570,0.8014,0.3158
decision_tree,with_cluster,adasyn,0.8481,0.6983,0.7659,8475,49570,0.7942,0.8514
decision_tree,with_cluster,borderline_smote,0.8071,0.7091,0.755,8475,49570,0.7936,0.8759
logreg,no_cluster,no_resampling,0.6023,0.7162,0.6543,8475,49570,0.6259,0.5967
logreg,with_cluster,random_over,0.6029,0.7155,0.6544,8475,49570,0.6254,0.6028
logreg,with_cluster,no_resampling,0.6048,0.7148,0.6552,8475,49570,0.6253,0.6041
logreg,with_cluster,adasyn,0.4951,0.7606,0.5998,8475,49570,0.5656,0.6085
logreg,with_cluster,borderline_smote,0.5041,0.755,0.6046,8475,49570,0.5647,0.6171
