CUSTOMER_NUMBER,CLUSTER_OPT_V2,HAS_CREDIT_CARD
639362,0,0.0
452440,1,0.0
326290,0,0.0
20802,1,0.0
114244,3,0.0
163178,3,0.0
106192,1,0.0
756177,2,0.0
895764,0,0.0
785152,0,0.0
462712,0,0.0
983703,3,0.0
904829,0,0.0
633410,1,0.0
501812,0,0.0
115006,0,0.0
893956,0,0.0
739245,0,0.0
654980,0,0.0
107141,1,0.0
155578,0,1.0
670761,1,0.0
461699,3,1.0
949227,3,1.0
603473,3,0.0
77142,1,0.0
946291,0,0.0
233223,0,1.0
488116,0,0.0
201782,3,1.0
3393,3,1.0
372706,1,0.0
47061,3,0.0
98447,3,1.0
105387,0,1.0
578958,0,0.0
578025,3,1.0
361316,0,0.0
522543,3,1.0
67971,0,0.0
740087,0,0.0
876043,0,0.0
210373,1,0.0
973874,0,0.0
230170,3,1.0
509998,3,0.0
964107,0,0.0
118844,3,0.0
182488,1,0.0
637707,0,0.0
98453,1,0.0
728350,3,1.0
18979,0,0.0
134437,1,0.0
692353,0,0.0
662463,0,0.0
290403,3,1.0
570477,0,1.0
688949,0,0.0
688592,1,0.0
804198,1,1.0
319968,0,0.0
468279,0,0.0
762655,2,1.0
319054,0,0.0
743698,3,1.0
850307,3,0.0
570345,0,0.0
784566,2,0.0
433496,0,0.0
246548,2,1.0
67876,0,1.0
654953,0,1.0
288612,1,0.0
54791,0,0.0
454714,3,0.0
649246,0,0.0
584292,1,0.0
933892,0,0.0
912885,1,0.0
342449,0,0.0
776189,1,0.0
507270,3,0.0
87852,0,0.0
402665,1,0.0
393113,3,1.0
69060,0,0.0
613555,0,0.0
887794,3,0.0
30379,3,1.0
785193,3,0.0
767217,0,1.0
838453,0,0.0
210744,1,0.0
420016,2,0.0
922010,0,0.0
688061,3,1.0
481276,3,0.0
617344,0,0.0
248686,1,0.0
414542,0,0.0
689499,3,0.0
184420,3,1.0
446777,3,0.0
703338,0,0.0
367099,1,0.0
841513,1,0.0
710550,0,0.0
648249,0,0.0
463174,1,0.0
364925,1,0.0
579976,1,0.0
927339,0,0.0
369085,3,0.0
184249,3,1.0
228288,2,0.0
229176,0,0.0
939441,1,0.0
174052,1,0.0
21728,2,0.0
967451,3,0.0
885635,3,1.0
345005,0,0.0
264199,3,1.0
812782,0,0.0
170285,3,0.0
869909,2,0.0
601965,0,1.0
546357,3,1.0
335307,0,0.0
799749,1,0.0
829030,0,0.0
510502,0,0.0
396763,1,0.0
763448,0,0.0
253708,1,0.0
208404,0,0.0
841331,3,1.0
581779,0,0.0
148830,3,0.0
493092,1,1.0
308549,0,0.0
866216,0,0.0
420405,3,1.0
591928,0,1.0
420717,0,0.0
146456,3,0.0
538830,1,0.0
254013,2,0.0
800070,0,0.0
861059,0,0.0
280548,3,0.0
777531,2,0.0
453351,3,0.0
332416,1,0.0
244984,3,1.0
759320,0,0.0
991672,0,0.0
666867,1,0.0
905735,0,0.0
136535,1,0.0
731194,2,0.0
292081,0,0.0
50719,1,0.0
128331,3,0.0
837200,3,0.0
982002,0,0.0
961252,3,1.0
118961,0,0.0
322855,0,0.0
828487,0,1.0
309241,1,0.0
598149,1,0.0
789750,1,0.0
684002,0,0.0
210260,0,0.0
241780,3,0.0
289798,0,1.0
195441,1,1.0
257141,0,0.0
639885,0,0.0
750424,0,0.0
842714,2,0.0
605362,3,0.0
703463,3,0.0
702429,0,0.0
695436,3,1.0
942341,0,1.0
775880,3,0.0
527215,1,0.0
982421,3,0.0
621,2,1.0
604566,0,0.0
818782,0,0.0
212214,3,0.0
996220,2,0.0
89308,2,0.0
746426,1,0.0
626414,2,0.0
864535,0,1.0
32939,1,0.0
752448,1,0.0
678089,3,1.0
349585,1,0.0
175079,1,0.0
147116,1,0.0
111444,1,0.0
638172,3,1.0
544917,0,0.0
81175,3,1.0
153387,1,0.0
915243,0,0.0
525749,1,0.0
470896,3,0.0
39780,3,0.0
894997,0,0.0
727577,1,0.0
830962,0,0.0
474892,0,1.0
163999,3,0.0
642331,1,0.0
705367,3,0.0
190442,1,0.0
712422,3,0.0
1523,0,0.0
849483,2,0.0
508531,2,0.0
247754,1,0.0
736443,3,0.0
516695,1,0.0
249716,3,0.0
555341,1,0.0
958289,1,0.0
276517,1,0.0
337479,1,0.0
3129,0,0.0
340654,1,0.0
345644,1,1.0
574659,0,0.0
400292,1,0.0
509266,2,0.0
113387,0,1.0
160746,0,0.0
611692,0,0.0
662617,2,0.0
542809,3,1.0
777694,3,0.0
987065,1,0.0
31630,1,0.0
712477,3,1.0
875467,3,1.0
16953,2,0.0
185343,3,1.0
824520,2,0.0
292985,3,0.0
157087,0,0.0
860626,3,0.0
635432,3,0.0
141609,3,0.0
138885,0,0.0
247642,0,0.0
253346,1,0.0
990102,0,0.0
242520,0,0.0
280227,1,0.0
554132,0,0.0
68670,2,1.0
849555,2,1.0
74175,0,0.0
297953,2,1.0
927574,3,0.0
681974,0,0.0
973337,2,0.0
949347,3,0.0
200682,0,0.0
778626,3,0.0
144783,0,0.0
748665,0,0.0
868673,1,0.0
330880,1,0.0
339890,1,0.0
603763,1,0.0
134232,3,1.0
914012,1,0.0
936627,3,1.0
313987,0,1.0
973746,0,0.0
828493,3,0.0
870655,3,0.0
390864,3,0.0
879645,0,0.0
6861,0,0.0
40825,1,0.0
653461,0,1.0
277548,2,1.0
795952,0,0.0
653309,0,0.0
755316,0,1.0
763495,1,0.0
930468,1,0.0
56218,1,0.0
716967,2,0.0
26067,0,0.0
242355,3,0.0
217499,0,0.0
569193,0,1.0
174255,0,0.0
79653,0,0.0
41107,0,1.0
290679,0,0.0
469140,3,1.0
71012,2,0.0
840597,1,0.0
857749,3,1.0
565938,0,0.0
80742,0,1.0
799229,0,0.0
922046,0,0.0
142746,1,0.0
349293,3,1.0
610439,0,0.0
578870,0,0.0
344939,1,0.0
213717,1,0.0
368851,1,0.0
786371,1,0.0
991847,0,0.0
487078,1,0.0
423403,1,0.0
836079,0,0.0
684123,0,0.0
215958,3,0.0
105930,3,0.0
916946,0,0.0
799650,1,0.0
718143,2,0.0
47683,3,0.0
571550,3,1.0
946806,3,1.0
589926,3,0.0
360282,2,0.0
975425,3,0.0
999324,3,0.0
758069,0,0.0
703685,3,1.0
506618,1,0.0
378816,3,1.0
838202,3,0.0
649272,3,0.0
507399,3,1.0
470361,3,0.0
39516,1,0.0
306562,1,0.0
550800,0,0.0
961105,0,0.0
869303,3,0.0
853747,1,0.0
667755,3,0.0
198453,2,0.0
294585,2,1.0
800233,3,1.0
685611,1,0.0
282195,0,0.0
942869,1,0.0
886324,1,0.0
491728,3,1.0
660467,1,0.0
180824,0,0.0
71362,0,0.0
743482,3,0.0
591549,3,0.0
386905,0,0.0
529282,0,0.0
919297,0,0.0
641411,0,1.0
153667,1,0.0
884334,3,0.0
661482,0,0.0
826221,1,0.0
285883,0,0.0
818068,0,1.0
574246,1,0.0
794616,3,0.0
809663,3,0.0
112439,3,0.0
865080,0,0.0
532627,3,1.0
372647,3,1.0
85953,0,0.0
916479,3,1.0
985706,1,0.0
461649,1,0.0
854352,1,1.0
836063,0,1.0
581934,3,1.0
645920,3,0.0
565816,3,1.0
603599,3,0.0
685327,1,0.0
70783,0,0.0
776085,0,0.0
488315,1,0.0
569133,1,0.0
900634,3,0.0
958389,1,0.0
447721,1,1.0
154118,1,0.0
568151,1,0.0
131113,1,0.0
365742,2,0.0
145762,3,1.0
218735,0,0.0
608715,0,0.0
655915,2,0.0
743165,0,0.0
50614,1,0.0
628837,0,0.0
935577,0,0.0
556729,3,0.0
555675,3,0.0
711993,0,0.0
396566,1,0.0
967551,3,0.0
915893,0,1.0
889206,3,0.0
810266,3,1.0
664273,3,0.0
375041,0,0.0
171900,3,0.0
937601,3,0.0
374632,3,0.0
453201,2,0.0
678620,1,0.0
361398,1,0.0
88653,0,0.0
917032,3,1.0
939309,3,0.0
712677,0,0.0
430369,0,0.0
684515,1,0.0
799984,0,1.0
516238,0,1.0
595172,1,0.0
485353,1,0.0
29688,0,0.0
29385,0,0.0
169489,0,0.0
140120,1,0.0
102284,3,0.0
406309,1,0.0
410022,1,0.0
741116,3,0.0
639941,1,0.0
257559,1,0.0
707015,3,1.0
346845,2,0.0
906204,2,0.0
106132,3,1.0
808120,3,0.0
951391,3,0.0
833924,2,0.0
77006,0,0.0
119553,0,0.0
277733,0,0.0
168244,1,0.0
271999,0,1.0
915537,1,0.0
967905,3,1.0
414015,3,1.0
57448,1,0.0
578577,1,0.0
664368,3,0.0
353843,1,0.0
813755,3,0.0
579044,0,0.0
715019,0,0.0
358293,3,0.0
117493,0,0.0
400585,1,0.0
993958,1,0.0
393780,2,0.0
9697,3,1.0
